[ 2026-03-16 17:12:40,639 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-03-16 17:14:27,621 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-03-16 17:22:15,050 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-03-16 17:24:31,108 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,109 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:22]
[ 2026-03-16 17:24:31,110 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[23:26]
[ 2026-03-16 17:24:31,110 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,112 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,112 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[27:33]
[ 2026-03-16 17:24:31,113 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[34:38]
[ 2026-03-16 17:24:31,113 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,114 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,115 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[39:54]
[ 2026-03-16 17:24:31,115 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[55:63]
[ 2026-03-16 17:24:31,115 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[64:83]
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[84:100]
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[101:120]
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[121:144]
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,116 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[145:161]
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[162:166]
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[167:177]
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[178:179]
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[180:192]
[ 2026-03-16 17:24:31,119 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[193:198]
[ 2026-03-16 17:24:31,123 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,123 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,123 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[199:211]
[ 2026-03-16 17:24:31,123 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[212:219]
[ 2026-03-16 17:24:31,123 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,123 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,125 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[220:232]
[ 2026-03-16 17:24:31,125 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[233:234]
[ 2026-03-16 17:24:31,125 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,125 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,127 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[235:249]
[ 2026-03-16 17:24:31,127 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[250:252]
[ 2026-03-16 17:24:31,127 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,129 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:24:31,129 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[253:257]
[ 2026-03-16 17:24:31,129 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[258:266]
[ 2026-03-16 17:24:31,129 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:24:31,129 ] python_multipart.multipart - DEBUG - Calling on_end with no data
[ 2026-03-16 17:24:31,129 ] root - INFO - Creating dictionary for career data
[ 2026-03-16 17:24:31,129 ] root - INFO - Career data dictionary created successfully and ready for model prediction
[ 2026-03-16 17:24:31,135 ] root - INFO - Initiating prediction process in CareerClassifier
[ 2026-03-16 17:24:31,135 ] root - ERROR - Error occurred in python script: [D:\Data Science\Project\src\pipline\prediction_pipeline.py] at line number [98]: Environment variable: AWS_ACCESS_KEY_ID is not not set.
[ 2026-03-16 17:29:15,171 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,171 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[0:22]
[ 2026-03-16 17:29:15,171 ] python_multipart.multipart - DEBUG - Calling on_field_data with data[23:26]
[ 2026-03-16 17:29:15,171 ] python_multipart.multipart - DEBUG - Calling on_field_end with no data
[ 2026-03-16 17:29:15,171 ] python_multipart.multipart - DEBUG - Calling on_field_start with no data
[ 2026-03-16 17:29:15,176 ] python_multipart.multipart - DEBUG - Calling on_field_name with data[27:33]
